recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
10,4.112348186661675,0,1,Surburban,0,Web,Buy One Get One,0
3,5.314682720634301,0,1,Surburban,0,Web,No Offer,0
9,5.222677452339291,1,0,Urban,0,Web,Discount,0
7,3.4008639927609177,0,1,Urban,1,Phone,Discount,0
9,4.364626119993714,1,0,Urban,0,Web,Discount,0
12,5.011035214117583,0,1,Surburban,0,Phone,No Offer,0
6,3.753261713043204,1,0,Surburban,0,Web,No Offer,0
12,4.235265253278478,0,1,Rural,0,Phone,Buy One Get One,0
3,6.308626535194695,1,0,Surburban,1,Multichannel,No Offer,0
9,6.2281756416437295,1,0,Rural,1,Multichannel,Discount,0
3,4.96932707027458,0,1,Surburban,0,Phone,Buy One Get One,0
10,4.748404354073999,1,0,Urban,0,Phone,Discount,0
2,4.573782712746459,1,0,Surburban,0,Phone,Buy One Get One,0
6,3.6906279246480533,1,0,Surburban,1,Phone,Discount,0
11,6.033589692158629,0,1,Urban,0,Phone,No Offer,0
9,4.120174738923119,1,0,Surburban,1,Phone,Buy One Get One,0
5,5.402992647486168,0,1,Surburban,0,Phone,Buy One Get One,0
1,5.5603354172443025,0,1,Surburban,1,Web,No Offer,0
11,3.9854593235013285,1,0,Urban,1,Phone,No Offer,0
9,5.037926154332159,0,1,Surburban,0,Web,Discount,0
10,6.917151000622499,1,0,Surburban,1,Multichannel,Buy One Get One,0
2,5.630494678886369,1,0,Rural,0,Web,Discount,0
10,3.4378506993101907,1,0,Urban,0,Phone,Buy One Get One,0
2,6.06085067459299,1,0,Rural,0,Phone,Discount,0
7,6.417189694223507,1,0,Surburban,1,Phone,Buy One Get One,0
11,5.429740287908455,0,1,Surburban,1,Web,No Offer,0
1,6.462374015957115,0,1,Urban,1,Phone,Discount,0
4,5.268425008683,1,0,Urban,0,Phone,No Offer,0
7,4.436633184164753,0,1,Urban,1,Web,No Offer,0
7,5.460181081439595,0,1,Urban,1,Phone,Discount,0
2,3.4008639927609177,0,1,Surburban,0,Phone,Discount,0
7,5.60697784538501,1,0,Surburban,1,Web,Discount,0
2,4.557344556505487,0,1,Surburban,0,Web,No Offer,1
5,6.2030616945218195,1,1,Surburban,1,Phone,Discount,0
2,6.6958854398913035,1,0,Urban,1,Phone,Discount,0
1,4.387262901469128,0,1,Urban,1,Phone,Buy One Get One,0
10,5.471640222878291,1,0,Urban,0,Web,Buy One Get One,0
2,4.413888607822626,1,0,Surburban,0,Phone,Buy One Get One,0
6,5.110601285436775,0,1,Urban,0,Web,Buy One Get One,1
3,4.62114195549779,0,1,Surburban,1,Phone,No Offer,0
8,3.9634762870170617,0,1,Surburban,1,Web,No Offer,0
6,6.144807758162917,1,0,Urban,1,Multichannel,Discount,0
3,4.613634264400221,1,0,Urban,1,Phone,Discount,0
3,7.242490293220258,1,0,Surburban,1,Multichannel,Discount,0
2,6.647143478053019,0,1,Surburban,1,Phone,Discount,0
3,7.587751361695131,1,0,Surburban,1,Multichannel,No Offer,0
3,4.894176381402003,1,0,Urban,0,Web,Discount,0
8,3.4506222649896783,0,1,Surburban,0,Web,Discount,0
1,3.85946575468947,0,1,Urban,0,Phone,Buy One Get One,0
1,4.6659830253846035,0,1,Surburban,0,Web,Buy One Get One,0
11,5.372775277466046,0,1,Urban,0,Web,Buy One Get One,0
11,5.243068892317559,0,1,Urban,1,Phone,No Offer,0
10,4.683241721408247,1,0,Urban,0,Web,Buy One Get One,0
8,4.191773707553646,1,0,Surburban,1,Phone,No Offer,0
8,4.59066549978521,1,0,Surburban,1,Web,Buy One Get One,0
6,4.860897087198321,1,0,Surburban,0,Web,Buy One Get One,0
2,6.200853942189529,0,1,Surburban,0,Web,Buy One Get One,0
11,4.983880556787436,0,1,Surburban,1,Phone,Discount,0
12,3.4008639927609177,0,1,Urban,1,Web,No Offer,0
2,4.198704577546343,1,0,Urban,1,Phone,Buy One Get One,0
12,4.865455367582921,1,0,Surburban,0,Web,Buy One Get One,0
4,3.996547960497834,0,1,Urban,1,Phone,Buy One Get One,0
9,7.0668252677154575,1,1,Surburban,1,Web,Discount,0
5,5.498560697975914,0,1,Urban,1,Web,Discount,0
2,5.659621578870431,1,1,Urban,1,Phone,Buy One Get One,0
4,3.4008639927609177,0,1,Urban,1,Web,Buy One Get One,0
9,5.017346059787697,1,0,Surburban,0,Web,No Offer,0
11,3.5675589188773804,1,0,Urban,1,Phone,Discount,0
5,4.432838563223485,1,0,Urban,1,Web,Buy One Get One,0
3,5.7481182884762525,0,1,Surburban,0,Phone,No Offer,0
1,4.764478968472973,0,1,Rural,0,Phone,Discount,0
5,3.4008639927609177,0,1,Surburban,0,Web,No Offer,0
3,7.062988230085359,1,1,Rural,1,Web,Buy One Get One,0
3,6.5267876424743605,1,1,Rural,1,Multichannel,No Offer,0
1,4.701116527035301,0,1,Urban,0,Web,Discount,0
1,4.6341462942246086,1,0,Urban,0,Web,Buy One Get One,0
2,3.4008639927609177,0,1,Urban,0,Web,Discount,0
11,5.075423783989034,1,0,Rural,0,Web,Discount,0
1,6.0371069049866835,0,1,Surburban,0,Web,No Offer,0
11,5.756469796935208,1,0,Urban,1,Phone,Discount,0
12,5.5336266147611175,0,1,Surburban,0,Phone,Buy One Get One,0
9,5.798971434992531,0,1,Surburban,1,Phone,No Offer,0
7,5.22429400619925,1,0,Surburban,0,Phone,Discount,0
11,3.9527809979003137,0,1,Urban,0,Web,Buy One Get One,0
1,6.424431326833402,0,1,Urban,1,Web,Discount,0
9,4.815350070910442,1,0,Urban,0,Phone,Buy One Get One,0
3,5.520300244541494,1,0,Surburban,0,Phone,No Offer,0
2,3.830596006732417,0,1,Urban,0,Web,No Offer,0
8,3.8891637112820634,1,0,Surburban,1,Web,Discount,0
10,4.348599108561364,1,0,Surburban,0,Phone,Buy One Get One,0
4,5.59931045305949,1,0,Urban,1,Phone,No Offer,0
9,5.432848259505643,1,0,Surburban,0,Multichannel,Discount,1
3,4.384274107214361,0,1,Urban,0,Phone,Buy One Get One,0
11,4.880982085869385,0,1,Surburban,1,Web,Buy One Get One,1
9,5.091231694607464,0,1,Urban,0,Phone,Discount,1
12,4.473009282385752,1,0,Urban,1,Phone,Discount,0
3,3.4008639927609177,1,0,Surburban,0,Phone,Discount,0
3,3.4008639927609177,0,1,Urban,0,Web,Buy One Get One,0
7,4.093677673234397,1,0,Urban,1,Web,Buy One Get One,0
7,4.362971228138722,0,1,Rural,0,Web,Buy One Get One,0
2,3.4008639927609177,0,1,Surburban,0,Phone,Discount,0
7,5.331752142634274,1,0,Surburban,0,Phone,Buy One Get One,0
7,5.4360337399118706,1,0,Surburban,0,Web,Discount,1
1,6.086615623346915,1,1,Rural,1,Multichannel,No Offer,0
10,5.748341477853365,1,0,Rural,1,Phone,Buy One Get One,1
7,3.4008639927609177,1,0,Surburban,1,Web,Buy One Get One,0
3,4.048824046920291,0,1,Surburban,0,Web,Buy One Get One,1
2,5.668327993671799,0,1,Rural,0,Phone,No Offer,1
5,3.4008639927609177,0,1,Surburban,1,Phone,Discount,1
9,5.614185940844445,1,0,Surburban,0,Web,No Offer,0
1,5.6814346109922935,1,0,Surburban,0,Phone,No Offer,0
12,3.4008639927609177,1,0,Urban,1,Phone,No Offer,0
1,6.0090342912180414,1,0,Surburban,0,Web,No Offer,0
1,4.958639998977875,0,1,Surburban,0,Phone,No Offer,0
1,3.4008639927609177,0,1,Urban,1,Web,Discount,0
12,5.650873841223021,1,1,Surburban,0,Web,Discount,0
2,4.097672352314776,0,1,Surburban,1,Web,No Offer,0
4,6.993721943783309,1,0,Urban,1,Multichannel,Discount,0
7,3.4008639927609177,1,0,Surburban,1,Web,Buy One Get One,0
1,6.616480092353471,0,1,Rural,1,Web,Buy One Get One,0
6,4.917276542350397,1,0,Urban,1,Web,Buy One Get One,0
10,3.4008639927609177,1,0,Rural,1,Web,Buy One Get One,0
11,3.991019011654644,1,0,Urban,1,Web,Buy One Get One,0
1,6.6724885378656165,1,1,Urban,1,Multichannel,Discount,0
4,3.5970382504483562,1,0,Urban,1,Web,No Offer,0
12,5.6053975727348,1,0,Rural,0,Web,Discount,0
5,5.990113635037026,1,0,Surburban,0,Web,Buy One Get One,0
3,3.684620397193553,0,1,Urban,1,Phone,Discount,1
10,5.034221603902398,1,0,Surburban,0,Phone,Buy One Get One,0
5,5.59838492127545,1,1,Surburban,0,Phone,Discount,0
2,3.4008639927609177,1,0,Urban,1,Web,Buy One Get One,0
4,5.678840664351991,1,0,Surburban,0,Multichannel,No Offer,0
2,6.356142382315311,0,1,Surburban,1,Web,Buy One Get One,0
6,3.4008639927609177,1,0,Surburban,0,Web,No Offer,0
9,4.7561730595246186,1,0,Rural,1,Web,Discount,1
5,3.4008639927609177,1,0,Surburban,0,Web,No Offer,0
3,3.4008639927609177,0,1,Urban,1,Web,No Offer,0
7,6.875903349532955,1,1,Surburban,1,Web,Buy One Get One,0
7,3.683364273425826,0,1,Surburban,0,Web,Discount,0
9,5.74239402795031,1,0,Urban,0,Multichannel,Buy One Get One,1
1,6.57948729525137,1,1,Urban,1,Phone,Discount,0
4,4.235265253278478,0,1,Urban,0,Phone,Discount,0
12,4.389002248410307,1,0,Urban,0,Web,Buy One Get One,0
1,5.70774129484338,1,0,Surburban,1,Web,No Offer,0
10,5.728930268188853,0,1,Urban,0,Multichannel,Discount,0
7,6.177030834066826,1,0,Surburban,0,Web,Discount,0
10,3.4008639927609177,0,1,Surburban,0,Web,No Offer,0
1,6.797304049824558,0,1,Surburban,1,Web,Buy One Get One,0
5,6.052324435364745,1,0,Rural,1,Phone,Discount,0
10,3.591266625246936,1,0,Urban,1,Web,No Offer,0
4,6.024560774597171,0,1,Rural,0,Phone,Buy One Get One,0
7,3.4787755163075302,1,0,Surburban,0,Phone,No Offer,0
10,5.137679020585224,1,0,Urban,1,Phone,Buy One Get One,0
1,5.016816153171337,1,0,Surburban,0,Web,No Offer,0
11,5.408919122875832,1,0,Rural,1,Phone,Buy One Get One,0
1,6.227544066830465,1,0,Urban,1,Multichannel,No Offer,0
8,6.355447720761205,1,1,Urban,1,Multichannel,Discount,0
3,3.4008639927609177,0,1,Surburban,0,Web,Buy One Get One,1
2,4.981961433511648,0,1,Surburban,1,Web,No Offer,1
1,3.4008639927609177,1,0,Rural,1,Phone,Buy One Get One,0
8,6.059123195581797,1,0,Surburban,1,Multichannel,No Offer,0
6,6.404219684927493,1,1,Urban,1,Phone,No Offer,0
8,5.146796558906795,1,0,Surburban,0,Phone,No Offer,0
4,5.915824632899237,0,1,Surburban,0,Multichannel,Buy One Get One,0
8,4.931736376489838,0,1,Urban,1,Web,Buy One Get One,0
7,3.4008639927609177,1,0,Surburban,1,Web,Discount,0
1,5.347012288086795,1,0,Surburban,0,Web,No Offer,1
3,5.111987788356544,0,1,Urban,0,Web,No Offer,0
10,4.481532545529913,0,1,Urban,0,Phone,Buy One Get One,1
8,5.819370510469463,0,1,Surburban,0,Phone,Discount,0
1,4.106108429142343,0,1,Rural,1,Phone,Buy One Get One,0
4,5.876979193117597,0,1,Surburban,0,Web,No Offer,0
4,3.953548752256644,1,0,Urban,0,Phone,Discount,0
7,6.008075812913178,0,1,Surburban,1,Phone,Discount,0
6,5.626937426792593,1,0,Surburban,1,Multichannel,No Offer,0
1,5.203896790928544,0,1,Urban,1,Web,Discount,0
2,4.71965891247279,1,0,Urban,1,Web,Buy One Get One,0
5,3.4008639927609177,0,1,Rural,1,Web,No Offer,0
5,6.0850914928866064,1,0,Surburban,0,Multichannel,Buy One Get One,0
8,4.161379963558259,0,1,Surburban,0,Web,Buy One Get One,0
5,3.4008639927609177,0,1,Surburban,0,Web,No Offer,1
6,3.4008639927609177,0,1,Urban,1,Web,Discount,0
2,6.383422171857645,0,1,Urban,1,Multichannel,Buy One Get One,0
8,4.869916227156815,1,0,Surburban,1,Phone,No Offer,0
3,4.178379291165174,1,0,Urban,0,Web,Discount,1
10,4.886280713056833,1,0,Urban,0,Phone,Buy One Get One,0
4,5.420048155119184,1,1,Rural,1,Web,Buy One Get One,0
2,4.749789875598035,0,1,Surburban,1,Web,No Offer,0
8,4.653388758258566,0,1,Urban,0,Phone,No Offer,0
7,4.240463070352095,1,0,Rural,0,Web,Discount,1
10,3.8600979325632268,0,1,Surburban,0,Phone,Buy One Get One,0
1,5.371010051941477,0,1,Surburban,0,Web,Buy One Get One,1
2,5.415611393770394,1,1,Urban,0,Multichannel,No Offer,0
9,5.307029307150058,1,1,Surburban,0,Phone,Buy One Get One,0
5,5.869381655305767,1,0,Urban,0,Web,Discount,0
10,5.020123471968565,1,0,Urban,0,Web,No Offer,0
11,4.788657729422015,1,0,Urban,0,Web,Discount,0
5,5.071479499645555,0,1,Surburban,1,Phone,Buy One Get One,1
5,5.672842051749564,1,0,Urban,1,Web,No Offer,0
4,4.468204330914934,0,1,Surburban,1,Phone,Buy One Get One,1
11,4.395189621200163,1,0,Urban,0,Web,Discount,0
10,4.009331187895144,1,0,Urban,1,Web,Discount,0
1,6.241892471449249,0,1,Surburban,1,Multichannel,Discount,0
4,6.646883899606956,0,1,Rural,1,Multichannel,No Offer,0
1,3.5115454388310208,1,0,Surburban,0,Web,Discount,0
2,4.029806041084529,1,0,Surburban,1,Phone,Discount,0
2,6.997522854165484,1,1,Surburban,1,Web,No Offer,0
1,6.6237995882711695,1,1,Urban,1,Phone,No Offer,0
2,5.298067335292827,1,0,Surburban,1,Phone,No Offer,0
9,5.480263853011908,0,1,Rural,0,Phone,No Offer,0
8,3.764914140389934,0,1,Urban,1,Phone,No Offer,0
2,6.0374173564572535,0,1,Surburban,0,Multichannel,No Offer,0
9,5.763685267389244,0,1,Urban,0,Web,Buy One Get One,0
1,4.693730362967572,0,1,Surburban,1,Web,Buy One Get One,1
3,4.210645017918261,1,0,Surburban,0,Web,Discount,0
9,4.905422915613724,1,0,Surburban,1,Web,Buy One Get One,0
10,3.993602992420569,0,1,Surburban,0,Web,Discount,0
3,4.01349597435878,1,0,Surburban,1,Phone,Buy One Get One,0
4,5.696422120249909,1,1,Urban,0,Phone,Buy One Get One,1
4,4.9869571667416785,0,1,Surburban,0,Phone,Buy One Get One,0
7,5.796847712219876,0,1,Urban,0,Web,Discount,0
1,3.4008639927609177,1,0,Rural,1,Phone,Discount,0
4,5.519899699795292,0,1,Urban,1,Phone,Buy One Get One,0
5,3.6768068728796672,1,0,Surburban,1,Phone,Discount,0
1,5.728735216011778,1,0,Surburban,0,Multichannel,No Offer,0
6,4.52526080275979,0,1,Urban,0,Phone,Discount,0
6,6.14025086443609,0,1,Surburban,0,Multichannel,Buy One Get One,0
6,3.4008639927609177,1,0,Surburban,1,Web,Buy One Get One,0
2,6.076104364171111,0,1,Surburban,0,Web,Buy One Get One,0
10,5.9293231505701325,0,1,Urban,0,Web,Discount,0
9,3.4008639927609177,1,0,Urban,0,Web,Discount,0
9,5.395943045332476,1,0,Urban,0,Multichannel,Discount,0
5,5.194511197822448,0,1,Surburban,0,Phone,Buy One Get One,0
6,4.365516082546892,0,1,Surburban,0,Phone,Discount,0
2,5.859303643505643,1,0,Urban,1,Web,Buy One Get One,0
3,5.929961414513932,1,0,Surburban,0,Phone,No Offer,0
1,5.190899179780744,1,0,Surburban,0,Phone,Discount,1
6,5.102971358631329,1,0,Surburban,0,Phone,Buy One Get One,1
8,4.090336540824562,0,1,Urban,1,Web,Discount,0
11,3.4008639927609177,0,1,Surburban,0,Web,Buy One Get One,0
2,6.010384431960492,0,1,Urban,1,Web,Buy One Get One,0
1,4.962844630259907,0,1,Urban,0,Phone,Buy One Get One,0
4,5.768852104730449,0,1,Urban,1,Phone,Discount,0
1,4.635408369048701,1,0,Surburban,0,Web,Discount,0
10,3.57906458810673,1,0,Urban,1,Phone,No Offer,0
3,5.250491737065432,0,1,Surburban,1,Web,Buy One Get One,0
2,4.509870006133767,1,0,Surburban,0,Web,Discount,0
5,5.370777553277297,0,1,Urban,1,Web,No Offer,0
1,6.752737556715528,0,1,Urban,1,Web,No Offer,0
10,4.940427399052759,1,0,Urban,1,Phone,Discount,0
10,5.501625490028135,1,0,Urban,0,Multichannel,No Offer,0
6,4.845760650906022,0,1,Surburban,0,Phone,No Offer,0
1,6.154114717993229,1,0,Urban,0,Phone,Discount,0
1,4.079738409832738,1,0,Urban,1,Web,Discount,0
3,5.790265934544339,1,0,Surburban,1,Web,No Offer,0
1,5.990764301993589,1,1,Surburban,0,Phone,Discount,1
3,3.4008639927609177,1,0,Urban,0,Phone,No Offer,0
6,5.986527379328165,1,1,Surburban,0,Phone,No Offer,0
4,4.8996292427188965,0,1,Urban,0,Web,Discount,1
10,5.671775678521114,0,1,Surburban,0,Web,Discount,0
7,3.4008639927609177,1,0,Surburban,0,Web,No Offer,0
4,4.4738078677912645,1,0,Surburban,0,Web,Discount,0
10,5.816426401760286,0,1,Rural,0,Multichannel,Buy One Get One,0
12,6.1428327881115266,0,1,Rural,1,Multichannel,No Offer,0
12,4.3209487851652915,1,0,Urban,1,Phone,Buy One Get One,0
10,5.790510478166025,0,1,Urban,0,Phone,Buy One Get One,0
1,5.241164835043728,0,1,Surburban,1,Web,No Offer,0
4,3.9080149840306073,1,0,Urban,1,Web,Discount,0
7,6.534529842391482,1,1,Rural,1,Multichannel,Buy One Get One,0
3,5.435554384853122,0,1,Rural,0,Multichannel,No Offer,0
1,5.5341006982086824,0,1,Surburban,0,Multichannel,Discount,0
2,5.052416828111211,0,1,Surburban,0,Web,Discount,0
2,5.282848335644105,0,1,Rural,1,Web,Buy One Get One,0
4,6.323408690227182,1,0,Urban,1,Web,No Offer,0
12,5.179871611341555,1,0,Surburban,0,Phone,Buy One Get One,1
9,3.4008639927609177,0,1,Surburban,0,Phone,Buy One Get One,0
11,4.942142297650955,0,1,Urban,1,Web,Discount,0
10,5.124202046301181,1,0,Urban,0,Web,No Offer,0
5,5.157041779190083,1,0,Urban,0,Web,Buy One Get One,0
4,5.104125637183595,1,0,Surburban,0,Phone,No Offer,0
2,4.052306550875202,1,0,Urban,1,Phone,No Offer,0
10,3.4008639927609177,1,0,Urban,0,Web,Buy One Get One,0
3,5.237452090776761,1,0,Urban,0,Phone,Discount,1
10,3.4008639927609177,0,1,Surburban,0,Web,No Offer,1
1,3.561897992353146,1,0,Urban,1,Phone,Discount,0
4,4.146620706787472,1,0,Surburban,0,Web,Buy One Get One,0
4,6.3109904305384905,1,0,Surburban,1,Web,No Offer,0
6,5.4507809096745055,1,0,Surburban,1,Multichannel,Discount,0
11,4.513383790357383,1,0,Urban,0,Web,Buy One Get One,0
2,6.348316975295453,1,0,Rural,1,Multichannel,Buy One Get One,0
1,5.131731354140141,0,1,Rural,1,Web,Buy One Get One,0
10,5.327293474784554,1,0,Urban,0,Phone,No Offer,0
1,7.155770938971454,1,0,Urban,1,Phone,Discount,0
3,3.4008639927609177,1,0,Urban,0,Web,No Offer,1
3,6.295561160827858,1,0,Urban,1,Phone,Discount,1
7,6.051147549269156,0,1,Surburban,1,Phone,Buy One Get One,0
6,6.229003978705924,0,1,Urban,1,Phone,Discount,0
10,3.4008639927609177,1,0,Rural,0,Web,Discount,0
2,5.921953684343853,0,1,Urban,0,Multichannel,Buy One Get One,1
7,4.0946778400122215,1,0,Surburban,1,Phone,Discount,0
1,4.22683374526818,0,1,Urban,0,Phone,No Offer,0
11,3.6230067099632284,0,1,Urban,0,Phone,No Offer,0
2,3.6464937376174986,1,0,Urban,0,Web,Buy One Get One,0
5,6.302124347942234,1,0,Surburban,1,Multichannel,Buy One Get One,0
4,4.25405120762004,0,1,Surburban,1,Web,No Offer,0
6,4.593097604753822,0,1,Rural,1,Phone,Discount,1
9,3.4008639927609177,1,0,Urban,0,Web,Buy One Get One,0
5,6.3216671707156,0,1,Rural,1,Web,Discount,0
4,3.4008639927609177,1,0,Urban,0,Phone,Buy One Get One,0
6,4.914564825345522,0,1,Rural,1,Web,No Offer,0
2,6.8422883269859875,1,0,Urban,1,Phone,Buy One Get One,0
9,5.148308099221328,0,1,Urban,0,Phone,Discount,0
2,5.3157642801517575,1,1,Urban,1,Multichannel,No Offer,1
1,6.046922905561226,0,1,Urban,0,Phone,Buy One Get One,1
10,5.768664686725277,0,1,Rural,0,Web,No Offer,0
12,3.4008639927609177,0,1,Surburban,0,Phone,Buy One Get One,0
8,5.588184549905154,0,1,Surburban,0,Phone,Discount,0
11,5.105339229565553,0,1,Surburban,0,Phone,Buy One Get One,0
11,5.581200442213105,0,1,Surburban,0,Multichannel,Buy One Get One,0
9,6.6123366900475125,1,0,Rural,1,Web,No Offer,0
3,4.5976419195673,1,0,Surburban,1,Phone,No Offer,0
5,4.135006543940991,1,0,Rural,0,Web,No Offer,0
4,4.2857910267930555,0,1,Surburban,1,Phone,Discount,0
10,5.810092539349616,0,1,Surburban,0,Web,No Offer,0
7,5.829474889285946,0,1,Urban,0,Phone,No Offer,0
4,5.705713941505948,0,1,Surburban,1,Web,Buy One Get One,0
10,4.137244396537321,0,1,Surburban,1,Phone,Discount,0
10,5.878519788091848,0,1,Surburban,0,Web,Buy One Get One,0
5,5.647388474460037,1,0,Urban,1,Phone,No Offer,0
9,3.8903907053010323,1,0,Rural,1,Phone,Buy One Get One,0
9,3.9952606039982017,1,0,Surburban,0,Phone,Discount,1
5,5.512702676188347,1,0,Urban,0,Phone,Discount,0
11,5.184924679192946,1,0,Urban,0,Phone,Discount,0
2,4.458756167532555,1,0,Urban,1,Web,Discount,0
7,5.452753719852455,1,1,Urban,0,Multichannel,No Offer,0
2,5.245285719996231,1,0,Rural,1,Web,Buy One Get One,0
1,7.3291921566000005,1,0,Rural,1,Web,No Offer,0
5,6.2997393757983104,0,1,Urban,1,Web,Buy One Get One,0
8,4.105778939847764,1,0,Urban,1,Phone,Buy One Get One,0
10,4.055430468722875,0,1,Surburban,0,Web,Discount,0
4,6.018252523864365,0,1,Urban,0,Web,No Offer,0
6,3.6948615257914836,1,0,Surburban,1,Phone,Discount,0
9,6.282584453431286,0,1,Surburban,1,Web,Discount,0
3,6.370979168500391,1,1,Surburban,1,Web,No Offer,0
1,3.4008639927609177,1,0,Urban,1,Phone,Discount,0
3,7.359206623926999,1,1,Urban,1,Web,Buy One Get One,0
5,4.783065293829132,1,0,Surburban,0,Phone,No Offer,0
7,4.232075457910378,0,1,Surburban,0,Phone,No Offer,0
3,4.231349083214389,0,1,Urban,0,Phone,Discount,0
9,5.109696007605554,0,1,Urban,0,Web,No Offer,0
1,6.530994239002328,1,1,Urban,1,Web,No Offer,0
3,5.572420156459374,0,1,Surburban,0,Web,Buy One Get One,0
5,6.342579060466065,0,1,Surburban,1,Multichannel,Buy One Get One,0
7,4.982852913083804,0,1,Urban,0,Phone,No Offer,0
2,5.249127122357265,0,1,Rural,1,Web,Buy One Get One,1
5,6.871703140589635,0,1,Surburban,1,Phone,No Offer,0
10,5.0660700009843564,0,1,Surburban,0,Phone,Buy One Get One,0
7,6.360179221741411,0,1,Surburban,1,Web,Discount,1
7,4.536141599577656,1,0,Urban,0,Web,No Offer,0
9,5.061074890854325,1,0,Urban,0,Phone,Buy One Get One,0
2,6.635946555686647,1,0,Surburban,1,Web,Buy One Get One,0
5,3.4008639927609177,1,0,Surburban,0,Phone,Buy One Get One,0
2,5.460393698113796,1,0,Urban,1,Multichannel,Buy One Get One,0
5,3.744787086052232,0,1,Urban,0,Phone,No Offer,0
4,6.1631884802666566,0,1,Urban,1,Web,Discount,0
7,5.67634275889742,1,0,Urban,0,Multichannel,No Offer,0
3,4.388381400311889,1,0,Surburban,1,Web,Buy One Get One,0
2,5.414721674418139,1,1,Urban,0,Web,Buy One Get One,0
6,3.471034341250935,1,0,Urban,1,Phone,Discount,0
4,6.3161172069238525,1,0,Rural,1,Web,Buy One Get One,1
1,5.390440655423842,0,1,Surburban,0,Phone,Buy One Get One,0
1,5.299616522279656,1,0,Surburban,0,Multichannel,No Offer,0
8,7.036992464683636,0,1,Surburban,1,Phone,Discount,0
8,3.4008639927609177,0,1,Urban,1,Phone,Buy One Get One,0
9,3.942164162340133,1,0,Surburban,1,Phone,No Offer,0
3,5.178181565308056,0,1,Surburban,1,Web,Discount,0
9,3.548179572010801,1,0,Urban,1,Web,No Offer,0
8,5.998539460779944,1,0,Surburban,0,Phone,No Offer,0
1,5.621161445967864,1,0,Surburban,0,Phone,No Offer,0
1,6.866954117578205,1,1,Rural,1,Web,No Offer,1
1,4.614328123772857,0,1,Urban,1,Web,No Offer,0
7,6.647519747154737,1,1,Urban,1,Phone,Buy One Get One,0
7,4.158101528024852,1,0,Urban,1,Phone,Buy One Get One,0
